"Step","transformer-2-(bin) - val/acc_bin","transformer-2-(bin) - val/acc_bin__MIN","transformer-2-(bin) - val/acc_bin__MAX","transformer-2 - val/acc_bin","transformer-2 - val/acc_bin__MIN","transformer-2 - val/acc_bin__MAX"
"1","0.6818273663520813","0.6818273663520813","0.6818273663520813","0.40873515605926514","0.40873515605926514","0.40873515605926514"
"2","0.6708513498306274","0.6708513498306274","0.6708513498306274","0.42151665687561035","0.42151665687561035","0.42151665687561035"
"3","0.6430549621582031","0.6430549621582031","0.6430549621582031","0.47714105248451233","0.47714105248451233","0.47714105248451233"
"4","0.7255271077156067","0.7255271077156067","0.7255271077156067","0.45657920837402344","0.45657920837402344","0.45657920837402344"
"5","0.6887765526771545","0.6887765526771545","0.6887765526771545","0.4531325399875641","0.4531325399875641","0.4531325399875641"
"6","0.6806501746177673","0.6806501746177673","0.6806501746177673","0.4477972984313965","0.4477972984313965","0.4477972984313965"
"7","0.7006779909133911","0.7006779909133911","0.7006779909133911","0.4795556664466858","0.4795556664466858","0.4795556664466858"
"8","0.673169732093811","0.673169732093811","0.673169732093811","0.4855700135231018","0.4855700135231018","0.4855700135231018"
"9","0.6783521771430969","0.6783521771430969","0.6783521771430969","0.45661312341690063","0.45661312341690063","0.45661312341690063"
"10","0.6737667918205261","0.6737667918205261","0.6737667918205261","0.48617613315582275","0.48617613315582275","0.48617613315582275"
"11","0.7172113656997681","0.7172113656997681","0.7172113656997681","0.48174598813056946","0.48174598813056946","0.48174598813056946"
"12","0.7164718508720398","0.7164718508720398","0.7164718508720398","0.5086905360221863","0.5086905360221863","0.5086905360221863"
"13","0.7137876152992249","0.7137876152992249","0.7137876152992249","0.5112398862838745","0.5112398862838745","0.5112398862838745"
"14","0.70528244972229","0.70528244972229","0.70528244972229","0.5196477174758911","0.5196477174758911","0.5196477174758911"
"15","0.691382110118866","0.691382110118866","0.691382110118866","0.5015760064125061","0.5015760064125061","0.5015760064125061"
"16","0.7186985611915588","0.7186985611915588","0.7186985611915588","0.5107704401016235","0.5107704401016235","0.5107704401016235"
"17","0.7263315320014954","0.7263315320014954","0.7263315320014954","0.5632163882255554","0.5632163882255554","0.5632163882255554"
"18","0.7179580330848694","0.7179580330848694","0.7179580330848694","0.5824374556541443","0.5824374556541443","0.5824374556541443"
"19","0.6951258778572083","0.6951258778572083","0.6951258778572083","0.560377299785614","0.560377299785614","0.560377299785614"
"20","0.7150489687919617","0.7150489687919617","0.7150489687919617","0.5592011213302612","0.5592011213302612","0.5592011213302612"
"21","0.7156482934951782","0.7156482934951782","0.7156482934951782","0.5831595659255981","0.5831595659255981","0.5831595659255981"
"22","0.726883053779602","0.726883053779602","0.726883053779602","0.5881946682929993","0.5881946682929993","0.5881946682929993"
"23","0.7172719240188599","0.7172719240188599","0.7172719240188599","0.6069697141647339","0.6069697141647339","0.6069697141647339"
"24","0.7320072650909424","0.7320072650909424","0.7320072650909424","0.5986307263374329","0.5986307263374329","0.5986307263374329"
"25","0.7284003496170044","0.7284003496170044","0.7284003496170044","0.6172094345092773","0.6172094345092773","0.6172094345092773"
"26","0.7295335531234741","0.7295335531234741","0.7295335531234741","0.6488687992095947","0.6488687992095947","0.6488687992095947"
"27","0.7313172221183777","0.7313172221183777","0.7313172221183777","0.667294979095459","0.667294979095459","0.667294979095459"
"28","0.7018846273422241","0.7018846273422241","0.7018846273422241","0.6916342377662659","0.6916342377662659","0.6916342377662659"
"29","0.7216846942901611","0.7216846942901611","0.7216846942901611","0.6866521239280701","0.6866521239280701","0.6866521239280701"
"30","0.7097404599189758","0.7097404599189758","0.7097404599189758","0.6772736310958862","0.6772736310958862","0.6772736310958862"
"31","0.7107756733894348","0.7107756733894348","0.7107756733894348","0.6948849558830261","0.6948849558830261","0.6948849558830261"
"32","0.6975279450416565","0.6975279450416565","0.6975279450416565","0.6818570494651794","0.6818570494651794","0.6818570494651794"
"33","0.730398952960968","0.730398952960968","0.730398952960968","0.7046998739242554","0.7046998739242554","0.7046998739242554"
"34","0.7350640892982483","0.7350640892982483","0.7350640892982483","0.7172561883926392","0.7172561883926392","0.7172561883926392"
"35","0.7369259595870972","0.7369259595870972","0.7369259595870972","0.7329183220863342","0.7329183220863342","0.7329183220863342"
"36","0.7394194006919861","0.7394194006919861","0.7394194006919861","0.7256215810775757","0.7256215810775757","0.7256215810775757"
"37","0.7502493858337402","0.7502493858337402","0.7502493858337402","0.7090073227882385","0.7090073227882385","0.7090073227882385"
"38","0.7396746277809143","0.7396746277809143","0.7396746277809143","0.7121009826660156","0.7121009826660156","0.7121009826660156"
"39","0.7027347683906555","0.7027347683906555","0.7027347683906555","0.7047091722488403","0.7047091722488403","0.7047091722488403"
"40","0.6969693899154663","0.6969693899154663","0.6969693899154663","0.7019981145858765","0.7019981145858765","0.7019981145858765"
"41","0.7310106754302979","0.7310106754302979","0.7310106754302979","0.6986773610115051","0.6986773610115051","0.6986773610115051"
"42","0.7595356106758118","0.7595356106758118","0.7595356106758118","0.7165934443473816","0.7165934443473816","0.7165934443473816"
"43","0.726416826248169","0.726416826248169","0.726416826248169","0.7431157231330872","0.7431157231330872","0.7431157231330872"
"44","0.7215967774391174","0.7215967774391174","0.7215967774391174","0.7424038648605347","0.7424038648605347","0.7424038648605347"
"45","0.7308148741722107","0.7308148741722107","0.7308148741722107","0.7362351417541504","0.7362351417541504","0.7362351417541504"
"46","0.7428576946258545","0.7428576946258545","0.7428576946258545","0.7382908463478088","0.7382908463478088","0.7382908463478088"
"47","0.7430664896965027","0.7430664896965027","0.7430664896965027","0.7411587834358215","0.7411587834358215","0.7411587834358215"
"48","0.7282808423042297","0.7282808423042297","0.7282808423042297","0.7439956068992615","0.7439956068992615","0.7439956068992615"
"49","0.7295497059822083","0.7295497059822083","0.7295497059822083","0.7389926910400391","0.7389926910400391","0.7389926910400391"
"50","0.7330161333084106","0.7330161333084106","0.7330161333084106","0.7498160004615784","0.7498160004615784","0.7498160004615784"
"51","0.7452132105827332","0.7452132105827332","0.7452132105827332","0.7425892949104309","0.7425892949104309","0.7425892949104309"
"52","0.7375239133834839","0.7375239133834839","0.7375239133834839","0.7253761291503906","0.7253761291503906","0.7253761291503906"
"53","0.7382482290267944","0.7382482290267944","0.7382482290267944","0.7400157451629639","0.7400157451629639","0.7400157451629639"
"54","0.7321401238441467","0.7321401238441467","0.7321401238441467","0.7468410730361938","0.7468410730361938","0.7468410730361938"
"55","0.7361547350883484","0.7361547350883484","0.7361547350883484","0.750749409198761","0.750749409198761","0.750749409198761"
"56","0.7489157319068909","0.7489157319068909","0.7489157319068909","0.7493829131126404","0.7493829131126404","0.7493829131126404"
"57","0.7494223117828369","0.7494223117828369","0.7494223117828369","0.7559098601341248","0.7559098601341248","0.7559098601341248"
"58","0.7460840344429016","0.7460840344429016","0.7460840344429016","0.7478107810020447","0.7478107810020447","0.7478107810020447"
"59","0.7534291744232178","0.7534291744232178","0.7534291744232178","0.754843533039093","0.754843533039093","0.754843533039093"
"60","0.7532202005386353","0.7532202005386353","0.7532202005386353","0.7492047548294067","0.7492047548294067","0.7492047548294067"
"61","0.7474392652511597","0.7474392652511597","0.7474392652511597","0.7500448822975159","0.7500448822975159","0.7500448822975159"
"62","0.7541454434394836","0.7541454434394836","0.7541454434394836","0.742579460144043","0.742579460144043","0.742579460144043"
"63","0.7531102299690247","0.7531102299690247","0.7531102299690247","0.7347791194915771","0.7347791194915771","0.7347791194915771"
"64","0.7530003786087036","0.7530003786087036","0.7530003786087036","0.7541661858558655","0.7541661858558655","0.7541661858558655"
"65","0.75938481092453","0.75938481092453","0.75938481092453","0.7412685751914978","0.7412685751914978","0.7412685751914978"
"66","0.7657434344291687","0.7657434344291687","0.7657434344291687","0.7302457690238953","0.7302457690238953","0.7302457690238953"
"67","0.7632409930229187","0.7632409930229187","0.7632409930229187","0.759721040725708","0.759721040725708","0.759721040725708"
"68","0.7583699226379395","0.7583699226379395","0.7583699226379395","0.7328571677207947","0.7328571677207947","0.7328571677207947"
"69","0.7360657453536987","0.7360657453536987","0.7360657453536987","0.7247537970542908","0.7247537970542908","0.7247537970542908"
"70","0.7645664215087891","0.7645664215087891","0.7645664215087891","0.7322621941566467","0.7322621941566467","0.7322621941566467"
"71","0.7692630290985107","0.7692630290985107","0.7692630290985107","0.7492902874946594","0.7492902874946594","0.7492902874946594"
"72","0.7395423650741577","0.7395423650741577","0.7395423650741577","0.7350489497184753","0.7350489497184753","0.7350489497184753"
"73","0.7353138327598572","0.7353138327598572","0.7353138327598572","0.7350540161132812","0.7350540161132812","0.7350540161132812"
"74","0.7288669943809509","0.7288669943809509","0.7288669943809509","0.7425431609153748","0.7425431609153748","0.7425431609153748"
"75","0.7370445728302002","0.7370445728302002","0.7370445728302002","0.7429929971694946","0.7429929971694946","0.7429929971694946"
"76","0.7664003968238831","0.7664003968238831","0.7664003968238831","0.7263915538787842","0.7263915538787842","0.7263915538787842"
"77","0.7493979930877686","0.7493979930877686","0.7493979930877686","0.7362347841262817","0.7362347841262817","0.7362347841262817"
"78","0.7490325570106506","0.7490325570106506","0.7490325570106506","0.7416619658470154","0.7416619658470154","0.7416619658470154"
"79","0.7376324534416199","0.7376324534416199","0.7376324534416199","0.730221688747406","0.730221688747406","0.730221688747406"
"80","0.7337087988853455","0.7337087988853455","0.7337087988853455","0.7317417860031128","0.7317417860031128","0.7317417860031128"
"81","0.7328592538833618","0.7328592538833618","0.7328592538833618","0.7451760172843933","0.7451760172843933","0.7451760172843933"
"82","0.7437134385108948","0.7437134385108948","0.7437134385108948","0.7280405163764954","0.7280405163764954","0.7280405163764954"
"83","0.7691296339035034","0.7691296339035034","0.7691296339035034","0.7406688928604126","0.7406688928604126","0.7406688928604126"
"84","0.7494007349014282","0.7494007349014282","0.7494007349014282","0.7447899580001831","0.7447899580001831","0.7447899580001831"
"85","0.7402485013008118","0.7402485013008118","0.7402485013008118","0.7273381948471069","0.7273381948471069","0.7273381948471069"
"86","0.7328070998191833","0.7328070998191833","0.7328070998191833","0.7317529916763306","0.7317529916763306","0.7317529916763306"
"87","0.7412422299385071","0.7412422299385071","0.7412422299385071","0.7607010006904602","0.7607010006904602","0.7607010006904602"
"88","0.7471319437026978","0.7471319437026978","0.7471319437026978","0.751301109790802","0.751301109790802","0.751301109790802"
"89","0.7414627075195312","0.7414627075195312","0.7414627075195312","0.744981586933136","0.744981586933136","0.744981586933136"
"90","0.7308929562568665","0.7308929562568665","0.7308929562568665","0.7495126128196716","0.7495126128196716","0.7495126128196716"
"91","0.7429656386375427","0.7429656386375427","0.7429656386375427","0.7403031587600708","0.7403031587600708","0.7403031587600708"
"92","0.759100079536438","0.759100079536438","0.759100079536438","0.7470592856407166","0.7470592856407166","0.7470592856407166"
"93","0.7566468119621277","0.7566468119621277","0.7566468119621277","0.7574844360351562","0.7574844360351562","0.7574844360351562"
"94","0.7373371124267578","0.7373371124267578","0.7373371124267578","0.7517426609992981","0.7517426609992981","0.7517426609992981"
"95","0.74075847864151","0.74075847864151","0.74075847864151","0.7455664277076721","0.7455664277076721","0.7455664277076721"
"96","0.7339597344398499","0.7339597344398499","0.7339597344398499","0.7417692542076111","0.7417692542076111","0.7417692542076111"
"97","0.7272340059280396","0.7272340059280396","0.7272340059280396","0.748586118221283","0.748586118221283","0.748586118221283"
"98","0.734131395816803","0.734131395816803","0.734131395816803","0.7389726638793945","0.7389726638793945","0.7389726638793945"
"99","0.7583861947059631","0.7583861947059631","0.7583861947059631","0.7458608746528625","0.7458608746528625","0.7458608746528625"
"100","0.7539950609207153","0.7539950609207153","0.7539950609207153","0.754808247089386","0.754808247089386","0.754808247089386"
"101","0.7385762929916382","0.7385762929916382","0.7385762929916382","0.7587296962738037","0.7587296962738037","0.7587296962738037"
"102","0.7301728129386902","0.7301728129386902","0.7301728129386902","0.7582056522369385","0.7582056522369385","0.7582056522369385"
"103","0.7564679384231567","0.7564679384231567","0.7564679384231567","0.7546848058700562","0.7546848058700562","0.7546848058700562"
"104","0.7546559572219849","0.7546559572219849","0.7546559572219849","0.7424451112747192","0.7424451112747192","0.7424451112747192"
"105","0.7357717752456665","0.7357717752456665","0.7357717752456665","0.7597880959510803","0.7597880959510803","0.7597880959510803"
"106","0.7325558066368103","0.7325558066368103","0.7325558066368103","0.7503870725631714","0.7503870725631714","0.7503870725631714"
"107","0.7322381138801575","0.7322381138801575","0.7322381138801575","0.7425200343132019","0.7425200343132019","0.7425200343132019"
"108","0.7301241755485535","0.7301241755485535","0.7301241755485535","0.7533347606658936","0.7533347606658936","0.7533347606658936"
"109","0.7307124137878418","0.7307124137878418","0.7307124137878418","0.7553572654724121","0.7553572654724121","0.7553572654724121"
"110","0.7498111724853516","0.7498111724853516","0.7498111724853516","0.748651385307312","0.748651385307312","0.748651385307312"
"111","0.7504906058311462","0.7504906058311462","0.7504906058311462","0.7644752264022827","0.7644752264022827","0.7644752264022827"
"112","0.7466248273849487","0.7466248273849487","0.7466248273849487","0.7513459324836731","0.7513459324836731","0.7513459324836731"
"113","0.7254101634025574","0.7254101634025574","0.7254101634025574","0.7589638233184814","0.7589638233184814","0.7589638233184814"
"114","0.725033164024353","0.725033164024353","0.725033164024353","0.7327403426170349","0.7327403426170349","0.7327403426170349"
"115","0.7224398851394653","0.7224398851394653","0.7224398851394653","0.726509153842926","0.726509153842926","0.726509153842926"
"116","0.7302820682525635","0.7302820682525635","0.7302820682525635","0.7631348967552185","0.7631348967552185","0.7631348967552185"
"117","0.7262082695960999","0.7262082695960999","0.7262082695960999","0.7483989596366882","0.7483989596366882","0.7483989596366882"
"118","0.7238799333572388","0.7238799333572388","0.7238799333572388","0.7411113381385803","0.7411113381385803","0.7411113381385803"
"119","0.7470939755439758","0.7470939755439758","0.7470939755439758","0.7639048099517822","0.7639048099517822","0.7639048099517822"
"120","0.7537036538124084","0.7537036538124084","0.7537036538124084","0.7320399284362793","0.7320399284362793","0.7320399284362793"
"121","0.7483505010604858","0.7483505010604858","0.7483505010604858","0.7415137887001038","0.7415137887001038","0.7415137887001038"
"122","0.7254365682601929","0.7254365682601929","0.7254365682601929","0.7632966637611389","0.7632966637611389","0.7632966637611389"
"123","0.7120822072029114","0.7120822072029114","0.7120822072029114","0.7603530287742615","0.7603530287742615","0.7603530287742615"
"124","0.7360487580299377","0.7360487580299377","0.7360487580299377","0.7411560416221619","0.7411560416221619","0.7411560416221619"
"125","0.7401686906814575","0.7401686906814575","0.7401686906814575","0.7388381958007812","0.7388381958007812","0.7388381958007812"
"126","0.7506798505783081","0.7506798505783081","0.7506798505783081","0.7609816193580627","0.7609816193580627","0.7609816193580627"
"127","0.711723268032074","0.711723268032074","0.711723268032074","0.7397543787956238","0.7397543787956238","0.7397543787956238"
"128","0.7198179364204407","0.7198179364204407","0.7198179364204407","0.7447499632835388","0.7447499632835388","0.7447499632835388"
"129","0.7385465502738953","0.7385465502738953","0.7385465502738953","0.7457653284072876","0.7457653284072876","0.7457653284072876"
"130","0.7359638214111328","0.7359638214111328","0.7359638214111328","0.7472946643829346","0.7472946643829346","0.7472946643829346"
"131","0.7387544512748718","0.7387544512748718","0.7387544512748718","0.7441154718399048","0.7441154718399048","0.7441154718399048"
"132","0.7406774163246155","0.7406774163246155","0.7406774163246155","0.7622852921485901","0.7622852921485901","0.7622852921485901"
"133","0.7615655660629272","0.7615655660629272","0.7615655660629272","0.7473978400230408","0.7473978400230408","0.7473978400230408"
"134","0.7141814827919006","0.7141814827919006","0.7141814827919006","0.7403249144554138","0.7403249144554138","0.7403249144554138"
"135","0.7114552855491638","0.7114552855491638","0.7114552855491638","0.7509778738021851","0.7509778738021851","0.7509778738021851"
"136","0.7281925678253174","0.7281925678253174","0.7281925678253174","0.7356058359146118","0.7356058359146118","0.7356058359146118"
"137","0.7513533234596252","0.7513533234596252","0.7513533234596252","0.744381844997406","0.744381844997406","0.744381844997406"
"138","0.7512577176094055","0.7512577176094055","0.7512577176094055","0.7429335713386536","0.7429335713386536","0.7429335713386536"
"139","0.7491079568862915","0.7491079568862915","0.7491079568862915","0.7437757253646851","0.7437757253646851","0.7437757253646851"
"140","0.7286597490310669","0.7286597490310669","0.7286597490310669","0.7490081191062927","0.7490081191062927","0.7490081191062927"
"141","0.7305095195770264","0.7305095195770264","0.7305095195770264","0.7420260906219482","0.7420260906219482","0.7420260906219482"
"142","0.7522475719451904","0.7522475719451904","0.7522475719451904","0.7442417740821838","0.7442417740821838","0.7442417740821838"
"143","0.7608778476715088","0.7608778476715088","0.7608778476715088","0.7618085741996765","0.7618085741996765","0.7618085741996765"
"144","0.7308984994888306","0.7308984994888306","0.7308984994888306","0.7395807504653931","0.7395807504653931","0.7395807504653931"
"145","0.7333114743232727","0.7333114743232727","0.7333114743232727","0.7364950180053711","0.7364950180053711","0.7364950180053711"
"146","0.7525724768638611","0.7525724768638611","0.7525724768638611","0.7382276654243469","0.7382276654243469","0.7382276654243469"
"147","0.7325485944747925","0.7325485944747925","0.7325485944747925","0.7315548658370972","0.7315548658370972","0.7315548658370972"
"148","0.7333549857139587","0.7333549857139587","0.7333549857139587","0.7629135847091675","0.7629135847091675","0.7629135847091675"
"149","0.7380576729774475","0.7380576729774475","0.7380576729774475","0.7362715005874634","0.7362715005874634","0.7362715005874634"
"150","0.7371678948402405","0.7371678948402405","0.7371678948402405","0.7364423274993896","0.7364423274993896","0.7364423274993896"
"151","0.7385514974594116","0.7385514974594116","0.7385514974594116","0.7392598986625671","0.7392598986625671","0.7392598986625671"
"152","0.7369540333747864","0.7369540333747864","0.7369540333747864","0.7442430853843689","0.7442430853843689","0.7442430853843689"
"153","0.7394511699676514","0.7394511699676514","0.7394511699676514","0.7411007285118103","0.7411007285118103","0.7411007285118103"
"154","0.7407091856002808","0.7407091856002808","0.7407091856002808","0.7620450258255005","0.7620450258255005","0.7620450258255005"
"155","0.7437626719474792","0.7437626719474792","0.7437626719474792","0.7454034686088562","0.7454034686088562","0.7454034686088562"
"156","0.7619479298591614","0.7619479298591614","0.7619479298591614","0.7634726762771606","0.7634726762771606","0.7634726762771606"
"157","0.7469096779823303","0.7469096779823303","0.7469096779823303","0.7431338429450989","0.7431338429450989","0.7431338429450989"
"158","0.7452312111854553","0.7452312111854553","0.7452312111854553","0.7569738626480103","0.7569738626480103","0.7569738626480103"
"159","0.7286544442176819","0.7286544442176819","0.7286544442176819","0.7660894989967346","0.7660894989967346","0.7660894989967346"
"160","0.7266964912414551","0.7266964912414551","0.7266964912414551","0.7553156614303589","0.7553156614303589","0.7553156614303589"
"161","0.7320242524147034","0.7320242524147034","0.7320242524147034","0.7637460827827454","0.7637460827827454","0.7637460827827454"
"162","0.7497410774230957","0.7497410774230957","0.7497410774230957","0.7313640117645264","0.7313640117645264","0.7313640117645264"
"163","0.7489446997642517","0.7489446997642517","0.7489446997642517","0.7662826180458069","0.7662826180458069","0.7662826180458069"
"164","0.7310013771057129","0.7310013771057129","0.7310013771057129","0.7383256554603577","0.7383256554603577","0.7383256554603577"
"165","0.743940532207489","0.743940532207489","0.743940532207489","0.757965087890625","0.757965087890625","0.757965087890625"
"166","0.748905599117279","0.748905599117279","0.748905599117279","0.7466155886650085","0.7466155886650085","0.7466155886650085"
"167","0.7492809295654297","0.7492809295654297","0.7492809295654297","0.740048885345459","0.740048885345459","0.740048885345459"
"168","0.738109290599823","0.738109290599823","0.738109290599823","0.7619013786315918","0.7619013786315918","0.7619013786315918"
"169","0.7373012900352478","0.7373012900352478","0.7373012900352478","0.7559381127357483","0.7559381127357483","0.7559381127357483"
"170","0.737454354763031","0.737454354763031","0.737454354763031","0.7449617385864258","0.7449617385864258","0.7449617385864258"
"171","0.7495687007904053","0.7495687007904053","0.7495687007904053","0.7487937211990356","0.7487937211990356","0.7487937211990356"
"172","0.7485803365707397","0.7485803365707397","0.7485803365707397","0.7442117929458618","0.7442117929458618","0.7442117929458618"
"173","0.7432111501693726","0.7432111501693726","0.7432111501693726","0.7286398410797119","0.7286398410797119","0.7286398410797119"
"174","0.741969108581543","0.741969108581543","0.741969108581543","0.7693135738372803","0.7693135738372803","0.7693135738372803"
"175","0.7408754825592041","0.7408754825592041","0.7408754825592041","0.7403853535652161","0.7403853535652161","0.7403853535652161"
"176","0.741431713104248","0.741431713104248","0.741431713104248","0.7591579556465149","0.7591579556465149","0.7591579556465149"
"177","0.7407078146934509","0.7407078146934509","0.7407078146934509","0.7452301383018494","0.7452301383018494","0.7452301383018494"
"178","0.7404798865318298","0.7404798865318298","0.7404798865318298","0.7582747340202332","0.7582747340202332","0.7582747340202332"
"179","0.742817223072052","0.742817223072052","0.742817223072052","0.744762659072876","0.744762659072876","0.744762659072876"
"180","0.7425786256790161","0.7425786256790161","0.7425786256790161","0.7582376003265381","0.7582376003265381","0.7582376003265381"
"181","0.743665874004364","0.743665874004364","0.743665874004364","0.7601498365402222","0.7601498365402222","0.7601498365402222"
"182","0.741937518119812","0.741937518119812","0.741937518119812","0.7554265856742859","0.7554265856742859","0.7554265856742859"
"183","0.7430813312530518","0.7430813312530518","0.7430813312530518","0.7601110339164734","0.7601110339164734","0.7601110339164734"
"184","0.7434977293014526","0.7434977293014526","0.7434977293014526","0.731491208076477","0.731491208076477","0.731491208076477"
"185","0.7438888549804688","0.7438888549804688","0.7438888549804688","0.7654927372932434","0.7654927372932434","0.7654927372932434"
"186","0.7438353896141052","0.7438353896141052","0.7438353896141052","0.7331393957138062","0.7331393957138062","0.7331393957138062"
"187","0.7435276508331299","0.7435276508331299","0.7435276508331299","0.7621066570281982","0.7621066570281982","0.7621066570281982"
"188","0.7440611720085144","0.7440611720085144","0.7440611720085144","0.7576831579208374","0.7576831579208374","0.7576831579208374"
"189","0.7436470985412598","0.7436470985412598","0.7436470985412598","0.7583627700805664","0.7583627700805664","0.7583627700805664"
"190","0.7455161213874817","0.7455161213874817","0.7455161213874817","0.7685076594352722","0.7685076594352722","0.7685076594352722"
"191","0.7451823353767395","0.7451823353767395","0.7451823353767395","0.7387028336524963","0.7387028336524963","0.7387028336524963"
"192","0.7407240271568298","0.7407240271568298","0.7407240271568298","0.7461236715316772","0.7461236715316772","0.7461236715316772"
"193","0.7445325255393982","0.7445325255393982","0.7445325255393982","0.7686933875083923","0.7686933875083923","0.7686933875083923"
"194","0.7453943490982056","0.7453943490982056","0.7453943490982056","0.729613721370697","0.729613721370697","0.729613721370697"
"195","0.7453477382659912","0.7453477382659912","0.7453477382659912","0.756991982460022","0.756991982460022","0.756991982460022"
"196","0.7446702122688293","0.7446702122688293","0.7446702122688293","0.7589085698127747","0.7589085698127747","0.7589085698127747"
"197","0.7453368902206421","0.7453368902206421","0.7453368902206421","0.7425886392593384","0.7425886392593384","0.7425886392593384"
"198","0.7456884980201721","0.7456884980201721","0.7456884980201721","0.7615149021148682","0.7615149021148682","0.7615149021148682"
"199","0.7454677224159241","0.7454677224159241","0.7454677224159241","0.7580636143684387","0.7580636143684387","0.7580636143684387"
"200","0.7452950477600098","0.7452950477600098","0.7452950477600098","0.7442919015884399","0.7442919015884399","0.7442919015884399"
"201","0.7459934949874878","0.7459934949874878","0.7459934949874878","0.737639307975769","0.737639307975769","0.737639307975769"
"202","0.74021315574646","0.74021315574646","0.74021315574646","0.7618042826652527","0.7618042826652527","0.7618042826652527"
"203","0.7418500185012817","0.7418500185012817","0.7418500185012817","0.7536613345146179","0.7536613345146179","0.7536613345146179"
"204","0.7419725656509399","0.7419725656509399","0.7419725656509399","0.7607213854789734","0.7607213854789734","0.7607213854789734"
"205","0.7411201596260071","0.7411201596260071","0.7411201596260071","0.7732900977134705","0.7732900977134705","0.7732900977134705"
"206","0.7424389719963074","0.7424389719963074","0.7424389719963074","0.7548641562461853","0.7548641562461853","0.7548641562461853"
"207","0.7454949617385864","0.7454949617385864","0.7454949617385864","0.7662472128868103","0.7662472128868103","0.7662472128868103"
"208","0.7471299767494202","0.7471299767494202","0.7471299767494202","0.778408408164978","0.778408408164978","0.778408408164978"
"209","0.7442528009414673","0.7442528009414673","0.7442528009414673","0.7481949329376221","0.7481949329376221","0.7481949329376221"
"210","0.7433601021766663","0.7433601021766663","0.7433601021766663","0.7708232998847961","0.7708232998847961","0.7708232998847961"
"211","0.7462562322616577","0.7462562322616577","0.7462562322616577","0.7574818730354309","0.7574818730354309","0.7574818730354309"
"212","0.7429656982421875","0.7429656982421875","0.7429656982421875","0.7563188672065735","0.7563188672065735","0.7563188672065735"
"213","0.74396812915802","0.74396812915802","0.74396812915802","0.769824743270874","0.769824743270874","0.769824743270874"
"214","0.7437718510627747","0.7437718510627747","0.7437718510627747","0.7385567426681519","0.7385567426681519","0.7385567426681519"
"215","0.7482755184173584","0.7482755184173584","0.7482755184173584","0.7564915418624878","0.7564915418624878","0.7564915418624878"
"216","0.7479165196418762","0.7479165196418762","0.7479165196418762","0.7464805841445923","0.7464805841445923","0.7464805841445923"
"217","0.7452065348625183","0.7452065348625183","0.7452065348625183","0.7394382953643799","0.7394382953643799","0.7394382953643799"
"218","0.7473539710044861","0.7473539710044861","0.7473539710044861","0.7704836130142212","0.7704836130142212","0.7704836130142212"
"219","0.7462192177772522","0.7462192177772522","0.7462192177772522","0.758782684803009","0.758782684803009","0.758782684803009"
"220","0.7456096410751343","0.7456096410751343","0.7456096410751343","0.7665631175041199","0.7665631175041199","0.7665631175041199"
"221","0.7442716956138611","0.7442716956138611","0.7442716956138611","0.7669274210929871","0.7669274210929871","0.7669274210929871"
"222","0.7482806444168091","0.7482806444168091","0.7482806444168091","0.7437412142753601","0.7437412142753601","0.7437412142753601"
"223","0.749258279800415","0.749258279800415","0.749258279800415","0.7537183165550232","0.7537183165550232","0.7537183165550232"
"224","0.7489361763000488","0.7489361763000488","0.7489361763000488","0.7609923481941223","0.7609923481941223","0.7609923481941223"
