"Step","resnet-8 - val/auc_w/ttH","resnet-8 - val/auc_w/ttH__MIN","resnet-8 - val/auc_w/ttH__MAX","resnet-8-embed-nan-w - val/auc_w/ttH","resnet-8-embed-nan-w - val/auc_w/ttH__MIN","resnet-8-embed-nan-w - val/auc_w/ttH__MAX","resnet-8-embed - val/auc_w/ttH","resnet-8-embed - val/auc_w/ttH__MIN","resnet-8-embed - val/auc_w/ttH__MAX","resnet-8-nan-w - val/auc_w/ttH","resnet-8-nan-w - val/auc_w/ttH__MIN","resnet-8-nan-w - val/auc_w/ttH__MAX"
"1","0.634422753267553","0.634422753267553","0.634422753267553","0.6182463454008158","0.6182463454008158","0.6182463454008158","0.5882183618412177","0.5882183618412177","0.5882183618412177","0.6274532004580389","0.6274532004580389","0.6274532004580389"
"2","0.6225912157254851","0.6225912157254851","0.6225912157254851","0.6436646350022487","0.6436646350022487","0.6436646350022487","0.6282876991082665","0.6282876991082665","0.6282876991082665","0.6444499766480203","0.6444499766480203","0.6444499766480203"
"3","0.6437088109291776","0.6437088109291776","0.6437088109291776","0.6448364331202101","0.6448364331202101","0.6448364331202101","0.6335541470254835","0.6335541470254835","0.6335541470254835","0.6460767554275784","0.6460767554275784","0.6460767554275784"
"4","0.6419983201501615","0.6419983201501615","0.6419983201501615","0.6330860568870481","0.6330860568870481","0.6330860568870481","0.6489914727030242","0.6489914727030242","0.6489914727030242","0.652460053080289","0.652460053080289","0.652460053080289"
"5","0.6459739594739135","0.6459739594739135","0.6459739594739135","0.6344423550224108","0.6344423550224108","0.6344423550224108","0.6510826294955262","0.6510826294955262","0.6510826294955262","0.6560637880896714","0.6560637880896714","0.6560637880896714"
"6","0.6456827389000696","0.6456827389000696","0.6456827389000696","0.6461346416073968","0.6461346416073968","0.6461346416073968","0.6393796844057446","0.6393796844057446","0.6393796844057446","0.6431850211818393","0.6431850211818393","0.6431850211818393"
"7","0.6491494079522522","0.6491494079522522","0.6491494079522522","0.6453744125650027","0.6453744125650027","0.6453744125650027","0.655815689488864","0.655815689488864","0.655815689488864","0.6595356435276925","0.6595356435276925","0.6595356435276925"
"8","0.6527539684681422","0.6527539684681422","0.6527539684681422","0.6428009377997443","0.6428009377997443","0.6428009377997443","0.6516706108724315","0.6516706108724315","0.6516706108724315","0.6563557246231766","0.6563557246231766","0.6563557246231766"
"9","0.6497616327736986","0.6497616327736986","0.6497616327736986","0.6422731526205464","0.6422731526205464","0.6422731526205464","0.6531639039342042","0.6531639039342042","0.6531639039342042","0.6453214079252126","0.6453214079252126","0.6453214079252126"
"10","0.6540989938361365","0.6540989938361365","0.6540989938361365","0.6465755724773445","0.6465755724773445","0.6465755724773445","0.6593024184344948","0.6593024184344948","0.6593024184344948","0.6478439050095639","0.6478439050095639","0.6478439050095639"
"11","0.6656178024574155","0.6656178024574155","0.6656178024574155","0.6488526163850137","0.6488526163850137","0.6488526163850137","0.6429335556148149","0.6429335556148149","0.6429335556148149","0.6720709582509445","0.6720709582509445","0.6720709582509445"
"12","0.6516133271403726","0.6516133271403726","0.6516133271403726","0.6193655667608756","0.6193655667608756","0.6193655667608756","0.6395208100463894","0.6395208100463894","0.6395208100463894","0.6782912009184037","0.6782912009184037","0.6782912009184037"
"13","0.6716743481079166","0.6716743481079166","0.6716743481079166","0.637053995785188","0.637053995785188","0.637053995785188","0.6488436039717358","0.6488436039717358","0.6488436039717358","0.703715293314378","0.703715293314378","0.703715293314378"
"14","0.6897225658076402","0.6897225658076402","0.6897225658076402","0.6195414932882262","0.6195414932882262","0.6195414932882262","0.6580551402171375","0.6580551402171375","0.6580551402171375","0.6866078120096181","0.6866078120096181","0.6866078120096181"
"15","0.692783984898005","0.692783984898005","0.692783984898005","0.6500890014754086","0.6500890014754086","0.6500890014754086","0.6658480370946469","0.6658480370946469","0.6658480370946469","0.6942273274577561","0.6942273274577561","0.6942273274577561"
"16","0.7049459498084757","0.7049459498084757","0.7049459498084757","0.6541458109460299","0.6541458109460299","0.6541458109460299","0.6629369926240425","0.6629369926240425","0.6629369926240425","0.7007017342898709","0.7007017342898709","0.7007017342898709"
"17","0.7052188900433529","0.7052188900433529","0.7052188900433529","0.658827203899186","0.658827203899186","0.658827203899186","0.6669176548906026","0.6669176548906026","0.6669176548906026","0.6711485878153614","0.6711485878153614","0.6711485878153614"
"18","0.7179299986564242","0.7179299986564242","0.7179299986564242","0.6511084644101176","0.6511084644101176","0.6511084644101176","0.661010367984786","0.661010367984786","0.661010367984786","0.6771360232285848","0.6771360232285848","0.6771360232285848"
"19","0.7129811865739833","0.7129811865739833","0.7129811865739833","0.6561599306471781","0.6561599306471781","0.6561599306471781","0.6618803496548908","0.6618803496548908","0.6618803496548908","0.7055784363877596","0.7055784363877596","0.7055784363877596"
"20","0.6862586003727879","0.6862586003727879","0.6862586003727879","0.6618369452409969","0.6618369452409969","0.6618369452409969","0.6827747013305656","0.6827747013305656","0.6827747013305656","0.6811940501968619","0.6811940501968619","0.6811940501968619"
"21","0.7161456572567156","0.7161456572567156","0.7161456572567156","0.6714507147575428","0.6714507147575428","0.6714507147575428","0.6728220282573587","0.6728220282573587","0.6728220282573587","0.7027847707559179","0.7027847707559179","0.7027847707559179"
"22","0.7113582816982766","0.7113582816982766","0.7113582816982766","0.6899192103100211","0.6899192103100211","0.6899192103100211","0.7039292756079872","0.7039292756079872","0.7039292756079872","0.693732055602067","0.693732055602067","0.693732055602067"
"23","0.717146114207944","0.717146114207944","0.717146114207944","0.6967610939649894","0.6967610939649894","0.6967610939649894","0.6843318971581238","0.6843318971581238","0.6843318971581238","0.6952851684637281","0.6952851684637281","0.6952851684637281"
"24","0.7335113506979638","0.7335113506979638","0.7335113506979638","0.6778989274267989","0.6778989274267989","0.6778989274267989","0.7118905553244732","0.7118905553244732","0.7118905553244732","0.6969500316006106","0.6969500316006106","0.6969500316006106"
"25","0.7166684297885859","0.7166684297885859","0.7166684297885859","0.6710958202884548","0.6710958202884548","0.6710958202884548","0.713135034898541","0.713135034898541","0.713135034898541","0.7268225257616463","0.7268225257616463","0.7268225257616463"
"26","0.712951149663934","0.712951149663934","0.712951149663934","0.6797254740695845","0.6797254740695845","0.6797254740695845","0.7250796908634409","0.7250796908634409","0.7250796908634409","0.7234453991989582","0.7234453991989582","0.7234453991989582"
"27","0.7000497287643952","0.7000497287643952","0.7000497287643952","0.6838801292137189","0.6838801292137189","0.6838801292137189","0.7107348261748447","0.7107348261748447","0.7107348261748447","0.7157083976136924","0.7157083976136924","0.7157083976136924"
"28","0.7173244737959634","0.7173244737959634","0.7173244737959634","0.6674218284216666","0.6674218284216666","0.6674218284216666","0.6988363623157771","0.6988363623157771","0.6988363623157771","0.7243977822065016","0.7243977822065016","0.7243977822065016"
"29","0.7136191112105519","0.7136191112105519","0.7136191112105519","0.6804880340806877","0.6804880340806877","0.6804880340806877","0.7061176157235232","0.7061176157235232","0.7061176157235232","0.6886818166256693","0.6886818166256693","0.6886818166256693"
"30","0.6960201602560262","0.6960201602560262","0.6960201602560262","0.6694419879955449","0.6694419879955449","0.6694419879955449","0.7076351688574192","0.7076351688574192","0.7076351688574192","0.7170784382935442","0.7170784382935442","0.7170784382935442"
"31","0.7121233700781208","0.7121233700781208","0.7121233700781208","0.7047589939531809","0.7047589939531809","0.7047589939531809","0.6964904753582373","0.6964904753582373","0.6964904753582373","0.6975084377604523","0.6975084377604523","0.6975084377604523"
"32","0.7219220090021377","0.7219220090021377","0.7219220090021377","0.6856825303978573","0.6856825303978573","0.6856825303978573","0.6792750437086446","0.6792750437086446","0.6792750437086446","0.7046639653131805","0.7046639653131805","0.7046639653131805"
"33","0.7113592220619538","0.7113592220619538","0.7113592220619538","0.6915199413229735","0.6915199413229735","0.6915199413229735","0.676464886421515","0.676464886421515","0.676464886421515","0.6829133640322357","0.6829133640322357","0.6829133640322357"
"34","0.7150806617907783","0.7150806617907783","0.7150806617907783","0.6913033944596606","0.6913033944596606","0.6913033944596606","0.7069106844428525","0.7069106844428525","0.7069106844428525","0.6905014045901847","0.6905014045901847","0.6905014045901847"
"35","0.72551651620495","0.72551651620495","0.72551651620495","0.6818357852923805","0.6818357852923805","0.6818357852923805","0.7083581957269215","0.7083581957269215","0.7083581957269215","0.7023772427118228","0.7023772427118228","0.7023772427118228"
"36","0.7391482204245725","0.7391482204245725","0.7391482204245725","0.7031894205483149","0.7031894205483149","0.7031894205483149","0.722541063543195","0.722541063543195","0.722541063543195","0.6938354520085079","0.6938354520085079","0.6938354520085079"
"37","0.7209969012795254","0.7209969012795254","0.7209969012795254","0.6976232894641519","0.6976232894641519","0.6976232894641519","0.7170772701715136","0.7170772701715136","0.7170772701715136","0.7004143004184394","0.7004143004184394","0.7004143004184394"
"38","0.7128940620207517","0.7128940620207517","0.7128940620207517","0.6563796028986821","0.6563796028986821","0.6563796028986821","0.7111769564422235","0.7111769564422235","0.7111769564422235","0.6935442151468902","0.6935442151468902","0.6935442151468902"
"39","0.7083752811292187","0.7083752811292187","0.7083752811292187","0.6799659440278425","0.6799659440278425","0.6799659440278425","0.7172542433249299","0.7172542433249299","0.7172542433249299","0.6987701721801864","0.6987701721801864","0.6987701721801864"
"40","0.7267455474385816","0.7267455474385816","0.7267455474385816","0.6843022283259825","0.6843022283259825","0.6843022283259825","0.708609768730475","0.708609768730475","0.708609768730475","0.6916159864121069","0.6916159864121069","0.6916159864121069"
"41","0.7232952171919923","0.7232952171919923","0.7232952171919923","0.6982740140956625","0.6982740140956625","0.6982740140956625","0.6990659914614179","0.6990659914614179","0.6990659914614179","0.6715102549767424","0.6715102549767424","0.6715102549767424"
"42","0.7135614628232596","0.7135614628232596","0.7135614628232596","0.6560866613420937","0.6560866613420937","0.6560866613420937","0.7121435543237215","0.7121435543237215","0.7121435543237215","0.6758829331925202","0.6758829331925202","0.6758829331925202"
"43","0.6874296368494934","0.6874296368494934","0.6874296368494934","0.7017288956372165","0.7017288956372165","0.7017288956372165","0.6879763007292367","0.6879763007292367","0.6879763007292367","0.6926756443884363","0.6926756443884363","0.6926756443884363"
"44","0.7077108852337297","0.7077108852337297","0.7077108852337297","0.6742797196144988","0.6742797196144988","0.6742797196144988","0.7074355607939271","0.7074355607939271","0.7074355607939271","0.6697944197011758","0.6697944197011758","0.6697944197011758"
"45","0.7046417092609287","0.7046417092609287","0.7046417092609287","0.6876046309709833","0.6876046309709833","0.6876046309709833","0.6958967364655824","0.6958967364655824","0.6958967364655824","0.701201697232045","0.701201697232045","0.701201697232045"
"46","0.6909053799206019","0.6909053799206019","0.6909053799206019","0.6960229252025538","0.6960229252025538","0.6960229252025538","0.7024330661522812","0.7024330661522812","0.7024330661522812","0.6789065973426822","0.6789065973426822","0.6789065973426822"
"47","0.7079903866707755","0.7079903866707755","0.7079903866707755","0.6904811605071551","0.6904811605071551","0.6904811605071551","0.6782083495058792","0.6782083495058792","0.6782083495058792","0.6861774453047997","0.6861774453047997","0.6861774453047997"
"48","0.6985492300681642","0.6985492300681642","0.6985492300681642","0.6901388338323796","0.6901388338323796","0.6901388338323796","0.7062729270940713","0.7062729270940713","0.7062729270940713","0.684368348731999","0.684368348731999","0.684368348731999"
"49","0.7113235617990403","0.7113235617990403","0.7113235617990403","0.695886229378829","0.695886229378829","0.695886229378829","0.6951481008630579","0.6951481008630579","0.6951481008630579","0.658269276497329","0.658269276497329","0.658269276497329"
"50","0.6920611917394431","0.6920611917394431","0.6920611917394431","0.6416351591936464","0.6416351591936464","0.6416351591936464","0.6941937395329629","0.6941937395329629","0.6941937395329629","0.6600954345836971","0.6600954345836971","0.6600954345836971"
"51","0.6842597086355016","0.6842597086355016","0.6842597086355016","0.6746742210170944","0.6746742210170944","0.6746742210170944","0.6941519425199495","0.6941519425199495","0.6941519425199495","0.6290872278421096","0.6290872278421096","0.6290872278421096"
"52","0.6845337577925428","0.6845337577925428","0.6845337577925428","0.6924446648766291","0.6924446648766291","0.6924446648766291","0.6829520740291737","0.6829520740291737","0.6829520740291737","0.6776548720243256","0.6776548720243256","0.6776548720243256"
"53","0.701371927080892","0.701371927080892","0.701371927080892","0.6654655626811536","0.6654655626811536","0.6654655626811536","0.7051937499897165","0.7051937499897165","0.7051937499897165","0.6647613031841694","0.6647613031841694","0.6647613031841694"
"54","0.6842657910763983","0.6842657910763983","0.6842657910763983","0.6692610435453981","0.6692610435453981","0.6692610435453981","0.6896151690815093","0.6896151690815093","0.6896151690815093","0.6732624845321314","0.6732624845321314","0.6732624845321314"
"55","0.7179826253952664","0.7179826253952664","0.7179826253952664","0.6762072415599082","0.6762072415599082","0.6762072415599082","0.6669822754780041","0.6669822754780041","0.6669822754780041","0.6789703053812954","0.6789703053812954","0.6789703053812954"
"56","0.689823884521769","0.689823884521769","0.689823884521769","0.6808024074933801","0.6808024074933801","0.6808024074933801","0.6946817560266066","0.6946817560266066","0.6946817560266066","0.6483694573796105","0.6483694573796105","0.6483694573796105"
"57","0.6751574532550644","0.6751574532550644","0.6751574532550644","0.6294675778572296","0.6294675778572296","0.6294675778572296","0.683923447246484","0.683923447246484","0.683923447246484","0.641975461847868","0.641975461847868","0.641975461847868"
"58","0.6773006888984451","0.6773006888984451","0.6773006888984451","0.6884700453160247","0.6884700453160247","0.6884700453160247","0.6960212660557668","0.6960212660557668","0.6960212660557668","0.679353620240572","0.679353620240572","0.679353620240572"
"59","0.7087577222532425","0.7087577222532425","0.7087577222532425","0.6517807608634099","0.6517807608634099","0.6517807608634099","0.695923709117934","0.695923709117934","0.695923709117934","0.6716851537073687","0.6716851537073687","0.6716851537073687"
"60","0.6685179413447396","0.6685179413447396","0.6685179413447396","0.6571352839273846","0.6571352839273846","0.6571352839273846","0.6871927664826418","0.6871927664826418","0.6871927664826418","0.6530342512469145","0.6530342512469145","0.6530342512469145"
"61","0.6802530919367844","0.6802530919367844","0.6802530919367844","0.6544543460754622","0.6544543460754622","0.6544543460754622","0.6749680312852127","0.6749680312852127","0.6749680312852127","0.6333462831983","0.6333462831983","0.6333462831983"
"62","0.7019859086371287","0.7019859086371287","0.7019859086371287","0.6623285589226195","0.6623285589226195","0.6623285589226195","0.672383043467236","0.672383043467236","0.672383043467236","0.6667185261650076","0.6667185261650076","0.6667185261650076"
"63","0.6825854323273968","0.6825854323273968","0.6825854323273968","0.6518598202364253","0.6518598202364253","0.6518598202364253","0.6822257355454012","0.6822257355454012","0.6822257355454012","0.6496272474441225","0.6496272474441225","0.6496272474441225"
"64","0.6860527006691034","0.6860527006691034","0.6860527006691034","0.6453604699474981","0.6453604699474981","0.6453604699474981","0.6815767190858284","0.6815767190858284","0.6815767190858284","0.6412313310665844","0.6412313310665844","0.6412313310665844"
"65","0.6718916985757011","0.6718916985757011","0.6718916985757011","0.6751627464812959","0.6751627464812959","0.6751627464812959","0.6480311777483858","0.6480311777483858","0.6480311777483858","0.6541794509597695","0.6541794509597695","0.6541794509597695"
"66","0.6673613578390942","0.6673613578390942","0.6673613578390942","0.6165641678080032","0.6165641678080032","0.6165641678080032","0.6869465170188154","0.6869465170188154","0.6869465170188154","0.6274482823366612","0.6274482823366612","0.6274482823366612"
"67","0.6626961154503166","0.6626961154503166","0.6626961154503166","0.6478980771853465","0.6478980771853465","0.6478980771853465","0.6495864346930919","0.6495864346930919","0.6495864346930919","0.6567837988431687","0.6567837988431687","0.6567837988431687"
"68","0.6674429043703063","0.6674429043703063","0.6674429043703063","0.6342095767191811","0.6342095767191811","0.6342095767191811","0.6639952625216806","0.6639952625216806","0.6639952625216806","0.6523550674064389","0.6523550674064389","0.6523550674064389"
"69","0.6786993439487942","0.6786993439487942","0.6786993439487942","0.6190250604254565","0.6190250604254565","0.6190250604254565","0.6708213729005057","0.6708213729005057","0.6708213729005057","0.6524836621417942","0.6524836621417942","0.6524836621417942"
"70","0.6547315687549772","0.6547315687549772","0.6547315687549772","0.6491246056433928","0.6491246056433928","0.6491246056433928","0.6684095632620483","0.6684095632620483","0.6684095632620483","0.6428858115056368","0.6428858115056368","0.6428858115056368"
"71","0.6832472388600149","0.6832472388600149","0.6832472388600149","0.630791336817717","0.630791336817717","0.630791336817717","0.6780488719303671","0.6780488719303671","0.6780488719303671","0.6609874447192778","0.6609874447192778","0.6609874447192778"
"72","0.6647499496734068","0.6647499496734068","0.6647499496734068","0.6522698228224268","0.6522698228224268","0.6522698228224268","0.6610215566853936","0.6610215566853936","0.6610215566853936","0.6336519273449696","0.6336519273449696","0.6336519273449696"
"73","0.6733923183310808","0.6733923183310808","0.6733923183310808","0.6434364450099365","0.6434364450099365","0.6434364450099365","0.6745285685482122","0.6745285685482122","0.6745285685482122","0.6531762917265943","0.6531762917265943","0.6531762917265943"
"74","0.6807876183535","0.6807876183535","0.6807876183535","0.6410190998325652","0.6410190998325652","0.6410190998325652","0.6665991855438738","0.6665991855438738","0.6665991855438738","0.6433140129453795","0.6433140129453795","0.6433140129453795"
"75","0.6673552320453365","0.6673552320453365","0.6673552320453365","0.6447690596993297","0.6447690596993297","0.6447690596993297","0.6569114668444554","0.6569114668444554","0.6569114668444554","0.6506080387844221","0.6506080387844221","0.6506080387844221"
"76","0.661348223858102","0.661348223858102","0.661348223858102","0.6514768886342516","0.6514768886342516","0.6514768886342516","0.674240579855296","0.674240579855296","0.674240579855296","0.6433663237934678","0.6433663237934678","0.6433663237934678"
"77","0.6484880660259108","0.6484880660259108","0.6484880660259108","0.6454489933047307","0.6454489933047307","0.6454489933047307","0.6610058286893488","0.6610058286893488","0.6610058286893488","0.6250037608025807","0.6250037608025807","0.6250037608025807"
"78","0.6757802982313549","0.6757802982313549","0.6757802982313549","0.6681164160090216","0.6681164160090216","0.6681164160090216","0.6772048556123427","0.6772048556123427","0.6772048556123427","0.6240525418595567","0.6240525418595567","0.6240525418595567"
"79","0.6606507816960373","0.6606507816960373","0.6606507816960373","0.6460778314197267","0.6460778314197267","0.6460778314197267","0.6629021415499905","0.6629021415499905","0.6629021415499905","0.6288158670983998","0.6288158670983998","0.6288158670983998"
"80","0.6607560426230052","0.6607560426230052","0.6607560426230052","0.6450782532863304","0.6450782532863304","0.6450782532863304","0.6521594217663644","0.6521594217663644","0.6521594217663644","0.6527305366733933","0.6527305366733933","0.6527305366733933"
"81","0.6512977054787271","0.6512977054787271","0.6512977054787271","0.651542147632425","0.651542147632425","0.651542147632425","0.6616423922454449","0.6616423922454449","0.6616423922454449","0.6073135491680444","0.6073135491680444","0.6073135491680444"
"82","0.6526833302391563","0.6526833302391563","0.6526833302391563","0.6375585501750081","0.6375585501750081","0.6375585501750081","0.6667335025755006","0.6667335025755006","0.6667335025755006","0.6465873047304025","0.6465873047304025","0.6465873047304025"
"83","0.6540579473724792","0.6540579473724792","0.6540579473724792","0.6531948941683532","0.6531948941683532","0.6531948941683532","0.6616129240418736","0.6616129240418736","0.6616129240418736","0.6392193991921216","0.6392193991921216","0.6392193991921216"
"84","0.6704007042842478","0.6704007042842478","0.6704007042842478","0.6223797560107932","0.6223797560107932","0.6223797560107932","0.6520289108328069","0.6520289108328069","0.6520289108328069","0.6429523965707405","0.6429523965707405","0.6429523965707405"
"85","0.6416642083242535","0.6416642083242535","0.6416642083242535","0.6297110972328869","0.6297110972328869","0.6297110972328869","0.6460155723855537","0.6460155723855537","0.6460155723855537","0.6448785067953082","0.6448785067953082","0.6448785067953082"
"86","0.6547527459466725","0.6547527459466725","0.6547527459466725","0.6538959560272614","0.6538959560272614","0.6538959560272614","0.6629560393230963","0.6629560393230963","0.6629560393230963","0.6335283642833217","0.6335283642833217","0.6335283642833217"
"87","0.6583603917445313","0.6583603917445313","0.6583603917445313","0.6556671474194088","0.6556671474194088","0.6556671474194088","0.6562016952503612","0.6562016952503612","0.6562016952503612","0.6527062391162922","0.6527062391162922","0.6527062391162922"
"88","0.6492028647046273","0.6492028647046273","0.6492028647046273","0.6308768517239624","0.6308768517239624","0.6308768517239624","0.6245800836081794","0.6245800836081794","0.6245800836081794","0.6027188883452163","0.6027188883452163","0.6027188883452163"
