"epoch","transformer-2-no-w-nan - _step","transformer-2-no-w-nan - _step__MIN","transformer-2-no-w-nan - _step__MAX","transformer-2-no-w-nan - sig/significance","transformer-2-no-w-nan - sig/significance__MIN","transformer-2-no-w-nan - sig/significance__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"1","1.5","1","2","2.0834479331970215","2.0833053588867188","2.083590507507324","1","1","1","2.0834169387817383","2.0834169387817383","2.0834169387817383"
"2","3","3","3","2.1345927715301514","2.1345927715301514","2.1345927715301514","2","2","2","2.101653575897217","2.101653575897217","2.101653575897217"
"3","4","4","4","2.147256374359131","2.147256374359131","2.147256374359131","3","3","3","2.149033546447754","2.149033546447754","2.149033546447754"
"4","5","5","5","2.1181747913360596","2.1181747913360596","2.1181747913360596","4","4","4","2.1422698497772217","2.1422698497772217","2.1422698497772217"
"5","6","6","6","2.129319667816162","2.129319667816162","2.129319667816162","5","5","5","2.153210163116455","2.153210163116455","2.153210163116455"
"6","7","7","7","2.130315065383911","2.130315065383911","2.130315065383911","6","6","6","2.146914482116699","2.146914482116699","2.146914482116699"
"7","8","8","8","2.1240270137786865","2.1240270137786865","2.1240270137786865","7","7","7","2.1267571449279785","2.1267571449279785","2.1267571449279785"
"8","9","9","9","2.1288070678710938","2.1288070678710938","2.1288070678710938","8","8","8","2.1227500438690186","2.1227500438690186","2.1227500438690186"
"9","10","10","10","2.1284427642822266","2.1284427642822266","2.1284427642822266","9","9","9","2.137273073196411","2.137273073196411","2.137273073196411"
"10","11","11","11","2.1278584003448486","2.1278584003448486","2.1278584003448486","10","10","10","2.1432406902313232","2.1432406902313232","2.1432406902313232"
"11","12","12","12","2.1393349170684814","2.1393349170684814","2.1393349170684814","11","11","11","2.15022611618042","2.15022611618042","2.15022611618042"
"12","13","13","13","2.145458936691284","2.145458936691284","2.145458936691284","12","12","12","2.1551830768585205","2.1551830768585205","2.1551830768585205"
"13","14","14","14","2.2752673625946045","2.2752673625946045","2.2752673625946045","13","13","13","2.1592495441436768","2.1592495441436768","2.1592495441436768"
"14","15","15","15","2.168792486190796","2.168792486190796","2.168792486190796","14","14","14","2.1949541568756104","2.1949541568756104","2.1949541568756104"
"15","16","16","16","2.2384610176086426","2.2384610176086426","2.2384610176086426","15","15","15","2.221874475479126","2.221874475479126","2.221874475479126"
"16","17","17","17","2.2552244663238525","2.2552244663238525","2.2552244663238525","16","16","16","2.2215747833251953","2.2215747833251953","2.2215747833251953"
"17","18","18","18","2.234571695327759","2.234571695327759","2.234571695327759","17","17","17","2.246731996536255","2.246731996536255","2.246731996536255"
"18","19","19","19","2.300837278366089","2.300837278366089","2.300837278366089","18","18","18","2.3106157779693604","2.3106157779693604","2.3106157779693604"
"19","20","20","20","2.2911899089813232","2.2911899089813232","2.2911899089813232","19","19","19","2.292386293411255","2.292386293411255","2.292386293411255"
"20","21","21","21","2.280550956726074","2.280550956726074","2.280550956726074","20","20","20","2.3217196464538574","2.3217196464538574","2.3217196464538574"
"21","22","22","22","2.270703077316284","2.270703077316284","2.270703077316284","21","21","21","2.3430299758911133","2.3430299758911133","2.3430299758911133"
"22","23","23","23","2.2977986335754395","2.2977986335754395","2.2977986335754395","22","22","22","2.3518166542053223","2.3518166542053223","2.3518166542053223"
"23","24","24","24","2.31471586227417","2.31471586227417","2.31471586227417","23","23","23","2.332634687423706","2.332634687423706","2.332634687423706"
"24","25","25","25","2.3309879302978516","2.3309879302978516","2.3309879302978516","24","24","24","2.363978147506714","2.363978147506714","2.363978147506714"
"25","26","26","26","2.3025224208831787","2.3025224208831787","2.3025224208831787","25","25","25","2.3497114181518555","2.3497114181518555","2.3497114181518555"
"26","27","27","27","2.280843496322632","2.280843496322632","2.280843496322632","26","26","26","2.336286783218384","2.336286783218384","2.336286783218384"
"27","28","28","28","2.3378167152404785","2.3378167152404785","2.3378167152404785","27","27","27","2.2947258949279785","2.2947258949279785","2.2947258949279785"
"28","29","29","29","2.3200621604919434","2.3200621604919434","2.3200621604919434","28","28","28","2.2878592014312744","2.2878592014312744","2.2878592014312744"
"29","30","30","30","2.339996576309204","2.339996576309204","2.339996576309204","29","29","29","2.3679187297821045","2.3679187297821045","2.3679187297821045"
"30","31","31","31","2.321489095687866","2.321489095687866","2.321489095687866","30","30","30","2.354034900665283","2.354034900665283","2.354034900665283"
"31","32","32","32","2.3069205284118652","2.3069205284118652","2.3069205284118652","31","31","31","2.343345880508423","2.343345880508423","2.343345880508423"
"32","33","33","33","2.3275351524353027","2.3275351524353027","2.3275351524353027","32","32","32","2.3767287731170654","2.3767287731170654","2.3767287731170654"
"33","34","34","34","2.3291335105895996","2.3291335105895996","2.3291335105895996","33","33","33","2.359884023666382","2.359884023666382","2.359884023666382"
"34","35","35","35","2.317283868789673","2.317283868789673","2.317283868789673","34","34","34","2.3798325061798096","2.3798325061798096","2.3798325061798096"
"35","36","36","36","2.352848529815674","2.352848529815674","2.352848529815674","35","35","35","2.3776164054870605","2.3776164054870605","2.3776164054870605"
"36","37","37","37","2.3281192779541016","2.3281192779541016","2.3281192779541016","36","36","36","2.3719215393066406","2.3719215393066406","2.3719215393066406"
"37","38","38","38","2.2958338260650635","2.2958338260650635","2.2958338260650635","37","37","37","2.3388659954071045","2.3388659954071045","2.3388659954071045"
"38","39","39","39","2.300373077392578","2.300373077392578","2.300373077392578","38","38","38","2.369664192199707","2.369664192199707","2.369664192199707"
"39","40","40","40","2.3453845977783203","2.3453845977783203","2.3453845977783203","39","39","39","2.2717912197113037","2.2717912197113037","2.2717912197113037"
"40","41","41","41","2.339142084121704","2.339142084121704","2.339142084121704","40","40","40","2.3554182052612305","2.3554182052612305","2.3554182052612305"
"41","42","42","42","2.3264946937561035","2.3264946937561035","2.3264946937561035","41","41","41","2.383807420730591","2.383807420730591","2.383807420730591"
"42","43","43","43","2.312027931213379","2.312027931213379","2.312027931213379","42","42","42","2.3886818885803223","2.3886818885803223","2.3886818885803223"
"43","44","44","44","2.3212943077087402","2.3212943077087402","2.3212943077087402","43","43","43","2.310900926589966","2.310900926589966","2.310900926589966"
"44","45","45","45","2.3136980533599854","2.3136980533599854","2.3136980533599854","44","44","44","2.3667490482330322","2.3667490482330322","2.3667490482330322"
"45","46","46","46","2.3191304206848145","2.3191304206848145","2.3191304206848145","45","45","45","2.3480000495910645","2.3480000495910645","2.3480000495910645"
"46","47","47","47","2.3357198238372803","2.3357198238372803","2.3357198238372803","46","46","46","2.3802244663238525","2.3802244663238525","2.3802244663238525"
"47","48","48","48","2.33183217048645","2.33183217048645","2.33183217048645","47","47","47","2.3489701747894287","2.3489701747894287","2.3489701747894287"
"48","49","49","49","2.339252233505249","2.339252233505249","2.339252233505249","48","48","48","2.282367467880249","2.282367467880249","2.282367467880249"
"49","50","50","50","2.3406269550323486","2.3406269550323486","2.3406269550323486","49","49","49","2.3639886379241943","2.3639886379241943","2.3639886379241943"
"50","51","51","51","2.321288585662842","2.321288585662842","2.321288585662842","50","50","50","2.357144594192505","2.357144594192505","2.357144594192505"
"51","52","52","52","2.3105227947235107","2.3105227947235107","2.3105227947235107","51","51","51","2.365023374557495","2.365023374557495","2.365023374557495"
"52","53","53","53","2.3324263095855713","2.3324263095855713","2.3324263095855713","52","52","52","2.338822841644287","2.338822841644287","2.338822841644287"
"53","54","54","54","2.299499750137329","2.299499750137329","2.299499750137329","53","53","53","2.3594117164611816","2.3594117164611816","2.3594117164611816"
"54","55","55","55","2.3138535022735596","2.3138535022735596","2.3138535022735596","54","54","54","2.361478567123413","2.361478567123413","2.361478567123413"
"55","56","56","56","2.2977142333984375","2.2977142333984375","2.2977142333984375","55","55","55","2.3548600673675537","2.3548600673675537","2.3548600673675537"
"56","57","57","57","2.314819812774658","2.314819812774658","2.314819812774658","56","56","56","2.335609197616577","2.335609197616577","2.335609197616577"
"57","58","58","58","2.31890606880188","2.31890606880188","2.31890606880188","57","57","57","2.349841356277466","2.349841356277466","2.349841356277466"
"58","59","59","59","2.2834582328796387","2.2834582328796387","2.2834582328796387","58","58","58","2.3381049633026123","2.3381049633026123","2.3381049633026123"
"59","60","60","60","2.295804500579834","2.295804500579834","2.295804500579834","59","59","59","2.2968130111694336","2.2968130111694336","2.2968130111694336"
"60","61","61","61","2.30849289894104","2.30849289894104","2.30849289894104","60","60","60","2.339891195297241","2.339891195297241","2.339891195297241"
"61","62","62","62","2.2941880226135254","2.2941880226135254","2.2941880226135254","61","61","61","2.300947427749634","2.300947427749634","2.300947427749634"
"62","63","63","63","2.324507236480713","2.324507236480713","2.324507236480713","62","62","62","2.3533947467803955","2.3533947467803955","2.3533947467803955"
"63","64","64","64","2.3039822578430176","2.3039822578430176","2.3039822578430176","63","63","63","2.307847738265991","2.307847738265991","2.307847738265991"
"64","65","65","65","2.279421806335449","2.279421806335449","2.279421806335449","64","64","64","2.3215363025665283","2.3215363025665283","2.3215363025665283"
"65","66","66","66","2.265911817550659","2.265911817550659","2.265911817550659","65","65","65","2.306217670440674","2.306217670440674","2.306217670440674"
"66","67","67","67","2.2887842655181885","2.2887842655181885","2.2887842655181885","66","66","66","2.320502758026123","2.320502758026123","2.320502758026123"
"67","68","68","68","2.2715258598327637","2.2715258598327637","2.2715258598327637","67","67","67","2.3120980262756348","2.3120980262756348","2.3120980262756348"
"68","69","69","69","2.262876033782959","2.262876033782959","2.262876033782959","68","68","68","2.2678046226501465","2.2678046226501465","2.2678046226501465"
"69","70","70","70","2.258902072906494","2.258902072906494","2.258902072906494","69","69","69","2.265608787536621","2.265608787536621","2.265608787536621"
"70","71","71","71","2.22344708442688","2.22344708442688","2.22344708442688","70","70","70","2.2536494731903076","2.2536494731903076","2.2536494731903076"
"71","72","72","72","2.2548866271972656","2.2548866271972656","2.2548866271972656","71","71","71","2.2573959827423096","2.2573959827423096","2.2573959827423096"
"72","73","73","73","2.2364888191223145","2.2364888191223145","2.2364888191223145","72","72","72","2.294092893600464","2.294092893600464","2.294092893600464"
"73","74","74","74","2.2404792308807373","2.2404792308807373","2.2404792308807373","73","73","73","2.273391008377075","2.273391008377075","2.273391008377075"
"74","75","75","75","2.186946392059326","2.186946392059326","2.186946392059326","74","74","74","2.246436357498169","2.246436357498169","2.246436357498169"
"75","76","76","76","2.193311929702759","2.193311929702759","2.193311929702759","75","75","75","2.2453582286834717","2.2453582286834717","2.2453582286834717"
"76","77","77","77","2.202488660812378","2.202488660812378","2.202488660812378","76","76","76","2.2604496479034424","2.2604496479034424","2.2604496479034424"
"77","78","78","78","2.192307949066162","2.192307949066162","2.192307949066162","77","77","77","2.272205114364624","2.272205114364624","2.272205114364624"
"78","79","79","79","2.1681253910064697","2.1681253910064697","2.1681253910064697","78","78","78","2.2477147579193115","2.2477147579193115","2.2477147579193115"
"79","80","80","80","2.193127155303955","2.193127155303955","2.193127155303955","79","79","79","2.2326536178588867","2.2326536178588867","2.2326536178588867"
"80","81","81","81","2.179769515991211","2.179769515991211","2.179769515991211","80","80","80","2.31286883354187","2.31286883354187","2.31286883354187"
"81","82","82","82","2.1761083602905273","2.1761083602905273","2.1761083602905273","81","81","81","2.2621402740478516","2.2621402740478516","2.2621402740478516"
"82","83","83","83","2.1724393367767334","2.1724393367767334","2.1724393367767334","82","82","82","2.279383420944214","2.279383420944214","2.279383420944214"
"83","84","84","84","2.182283401489258","2.182283401489258","2.182283401489258","83","83","83","2.2626352310180664","2.2626352310180664","2.2626352310180664"
"84","85","85","85","2.159116744995117","2.159116744995117","2.159116744995117","84","84","84","2.2381765842437744","2.2381765842437744","2.2381765842437744"
"85","86","86","86","2.161998748779297","2.161998748779297","2.161998748779297","85","85","85","2.254214286804199","2.254214286804199","2.254214286804199"
"86","87","87","87","2.130068302154541","2.130068302154541","2.130068302154541","86","86","86","2.258465528488159","2.258465528488159","2.258465528488159"
"87","88","88","88","2.1411585807800293","2.1411585807800293","2.1411585807800293","87","87","87","2.2361655235290527","2.2361655235290527","2.2361655235290527"
"88","89","89","89","2.1316874027252197","2.1316874027252197","2.1316874027252197","88","88","88","2.2576940059661865","2.2576940059661865","2.2576940059661865"
"89","90","90","90","2.1065430641174316","2.1065430641174316","2.1065430641174316","89","89","89","2.2239537239074707","2.2239537239074707","2.2239537239074707"
"90","91","91","91","2.1033248901367188","2.1033248901367188","2.1033248901367188","90","90","90","2.2183139324188232","2.2183139324188232","2.2183139324188232"
"91","92","92","92","2.117016077041626","2.117016077041626","2.117016077041626","91","91","91","2.208608627319336","2.208608627319336","2.208608627319336"
"92","93","93","93","2.0864615440368652","2.0864615440368652","2.0864615440368652","92","92","92","2.217458724975586","2.217458724975586","2.217458724975586"
"93","94","94","94","2.0833053588867188","2.0833053588867188","2.0833053588867188","93","93","93","2.2163965702056885","2.2163965702056885","2.2163965702056885"
"94","95","95","95","2.141781806945801","2.141781806945801","2.141781806945801","94","94","94","2.1941869258880615","2.1941869258880615","2.1941869258880615"
"95","96","96","96","2.148505687713623","2.148505687713623","2.148505687713623","95","95","95","2.2004528045654297","2.2004528045654297","2.2004528045654297"
"96","97","97","97","2.1199023723602295","2.1199023723602295","2.1199023723602295","96","96","96","2.1608877182006836","2.1608877182006836","2.1608877182006836"
"97","98","98","98","2.148132801055908","2.148132801055908","2.148132801055908","97","97","97","2.157520294189453","2.157520294189453","2.157520294189453"
"98","99","99","99","2.1389713287353516","2.1389713287353516","2.1389713287353516","98","98","98","2.1315724849700928","2.1315724849700928","2.1315724849700928"
"99","100","100","100","2.1155471801757812","2.1155471801757812","2.1155471801757812","99","99","99","2.155958414077759","2.155958414077759","2.155958414077759"
"100","101","101","101","2.1825733184814453","2.1825733184814453","2.1825733184814453","100","100","100","2.190768241882324","2.190768241882324","2.190768241882324"